"input","expected_output","source_file"
"Analyze the interplay between §106(a)’s immunity waiver and state-law applicability in §544(b) trustee claims.","Section §106(a) of the Bankruptcy Code waives the federal government’s sovereign immunity only for the federal cause of action created by §544(b), not for any underlying state-law claims that may be invoked as “applicable law” within a §544(b) trustee claim. In other words, while §106(a) allows a trustee to bring a §544(b) claim against the government, it does not expand that waiver to include state statutes used as the basis for the claim. The Court found §106(a) to be a jurisdictional provision enabling courts to hear §544(b) suits against the government when otherwise allowed by state law, but it does not alter the meaning or application of §544(b)’s “applicable law” clause. Thus, the government remains immune from state-law fraudulent transfer claims nested within §544(b) unless Congress clearly expresses a waiver.","23-824_2d93.pdf"
"Does §106(a)’s sovereign-immunity waiver cover Utah fraudulent-transfer claims invoked via §544(b) actions?","No, §106(a)’s sovereign-immunity waiver does not cover Utah fraudulent-transfer claims invoked via §544(b) actions. The Supreme Court held that §106(a) waives sovereign immunity only for the federal cause of action under §544(b), not for any underlying state-law claims, such as those under Utah law, that are used as the “applicable law” within a §544(b) action.","23-824_2d93.pdf"
"How do §106(a), §544(b), and state “applicable law” interact in SCOTUS vs. Tenth Circuit rulings?","The Supreme Court held that §106(a) of the Bankruptcy Code abrogates sovereign immunity only for the federal cause of action created by §544(b), not for whatever state-law claim supplies the “applicable law” for a trustee’s §544(b) claim. This reversed the Tenth Circuit, which had ruled that §106(a) waives the Government’s sovereign immunity even for the state-law claims underlying a trustee’s §544(b) suit. The Supreme Court clarified that while §106(a) is a jurisdictional provision waiving immunity for federal claims, it does not extend that waiver to state-law causes of action used as “applicable law” under §544(b).","23-824_2d93.pdf"
"How do §106(a)’s waiver limits affect trustee §544(b) state law claims against the Fed. Govt.?","Section 106(a) of the Bankruptcy Code waives the Federal Government’s sovereign immunity only for the federal cause of action created by §544(b)—it does not extend that waiver to the underlying state-law claims that a trustee might use as the “applicable law” in a §544(b) suit. Therefore, trustees cannot use §106(a) to overcome sovereign immunity for state-law-based claims against the Federal Government under §544(b). As a result, sovereign immunity still bars such state-law trustee claims against the Government.","23-824_2d93.pdf"
"Analyze how §106(a) affects sovereign immunity for Fed. and state claims under §544(a) and §544(b).","Section 106(a) of the Bankruptcy Code waives sovereign immunity for both the federal government and state governments (“governmental units”) with respect to §544 claims, but the scope is limited:

- For §544(a) claims, §106(a) clearly waives sovereign immunity, allowing courts to hear avoidance actions against governmental units without requiring identification of an actual creditor. This enables trustees to avoid certain government claims, such as federal tax liens, under particular circumstances (see 26 U.S.C. §6323).

- For §544(b) claims, §106(a) does grant jurisdiction for courts to hear these actions against governmental units, but it does not waive sovereign immunity as broadly as to allow the underlying state-law causes of action (invoked as “applicable law” under §544(b)) to be used directly against the government unless there is explicit statutory language. In other words, §106(a) makes clear courts can hear §544(b) claims against governmental units, but it does not itself create new substantive rights or automatically authorize state-law claims against the government.

In sum: §106(a) waives sovereign immunity for §544(a) and gives courts jurisdiction over §544(b) claims against governmental units but does not generally abrogate immunity for underlying state-law causes of action in §544(b) absent clear statutory language.","23-824_2d93.pdf"
"How do §106(a) and §544(b) address sovereign immunity abrogation for fed/state govs and actual creditors?","Section §106(a) of the Bankruptcy Code waives sovereign immunity for the Government with respect to certain federal causes of action, including those under §544(b). The Supreme Court clarified that §106(a) does not broadly abrogate sovereign immunity for any underlying state-law causes of action that a trustee might use as “applicable law” under §544(b); it instead only allows federal courts to hear §544(b) claims against governmental units, including state governments, when the federal cause of action is invoked.

However, §106(a) itself does not create new substantive rights or abrogate immunity beyond what its text specifies; it simply provides jurisdiction for courts to consider claims—such as those involving an actual creditor who could pursue avoidance under state law and where state law provides the basis for a §544(b) claim. The Court held that waivers of sovereign immunity are strictly construed and must be explicit in statutory language. Thus, federal and state governments' immunity is only waived to the extent §106(a) expressly provides, not with respect to any and all state-law creditor actions referenced in §544(b).","23-824_2d93.pdf"
"Compare the Supreme Court and Second Circuit standards for pleading ERISA §1106(a)(1)(C) claims.","The Supreme Court and the Second Circuit had different standards for pleading ERISA §1106(a)(1)(C) claims:

- The Second Circuit required plaintiffs to plead not only the elements of a prohibited transaction under §1106(a)(1)(C) but also to address whether the §1108(b)(2)(A) exemption (involving reasonable arrangements and compensation for necessary services) did not apply, essentially requiring plaintiffs to allege that the transaction was unnecessary or involved unreasonable compensation.

- The Supreme Court rejected this approach. It held that to state a claim under §1106(a)(1)(C), plaintiffs need only plausibly allege the elements in §1106 itself, without addressing potential §1108 exemptions. The Court clarified that §1108 sets out affirmative defenses, so it is the defendant’s burden to plead and prove that an exemption applies.

In summary, the Supreme Court standard makes it easier for plaintiffs at the pleading stage by not requiring them to negate §1108 exemptions in their complaint.","23-1007_h3ci.pdf"
"How do §1106(a)’s prohibited transactions and §1108(b)(2)(A) exemptions interact when bringing ERISA claims?","Under ERISA, §1106(a) prohibits fiduciaries from causing a plan to engage in certain transactions with parties in interest. However, §1108(b)(2)(A) provides exemptions for transactions involving necessary services (like recordkeeping) if no more than reasonable compensation is paid. When bringing an ERISA claim under §1106(a), plaintiffs do not need to plead that §1108(b)(2)(A) does not apply. Instead, §1108 exemptions function as affirmative defenses, meaning it is the defendant fiduciary’s responsibility to plead and prove that an exemption applies to an otherwise prohibited transaction.","23-1007_h3ci.pdf"
"How does ERISA assign pleading and proof burdens between §1106(a)(1)(C) plaintiffs and §1108 defendants?","Under ERISA, a plaintiff alleging a prohibited transaction under §1106(a)(1)(C) need only plead and later prove the three elements set forth in that section. The defendant who wishes to benefit from an exemption under §1108 bears the burden to plead and prove the applicability of that exemption, as §1108 is framed as an affirmative defense. The statute’s text, structure, and headings—as well as Supreme Court precedent—confirm that the burden of establishing an exemption under §1108 rests with the defendant, not the plaintiff.","23-1007_h3ci.pdf"
"In ERISA cases, who must plead and prove §1108(b) exemptions when complex fiduciary delegation occurs?","In ERISA cases, it is the defendant who must plead and prove the §1108(b) exemptions, even when complex fiduciary delegation occurs. The §1108 exemptions are treated as affirmative defenses, which, according to both statutory structure and precedent, must be established by the party seeking their benefit (the defendant). Plaintiffs are only required to allege the basic §1106(a)(1)(C) elements; they do not need to anticipate or negate potential exemptions in their pleadings. This burden is confirmed by the statute’s headings and Supreme Court rulings cited in the context above.","23-1007_h3ci.pdf"
"Which party claiming the §1108(b)(2)(A) ERISA exemption bears the affirmative defense burden in court?","The defendant who seeks to benefit from the §1108(b)(2)(A) ERISA exemption bears the affirmative defense burden in court; they must plead and prove the exemption applies. Plaintiffs are only required to allege the basic prohibited transaction elements under §1106(a), not to anticipate or negate the exemption.","23-1007_h3ci.pdf"
"How do the pleading burdens for §1108 affirmative defenses differ from those for §1106(a)(1)(C) claims?","The pleading burdens differ in that a plaintiff asserting a §1106(a)(1)(C) claim need only allege the three elements set forth in §1106(a)(1)(C) (i.e., the prohibited transaction). The defendant, on the other hand, bears both the burden to plead and prove the applicability of any §1108 exemption as an affirmative defense. Plaintiffs are not required to anticipate or negate these exemptions in their pleadings; it is the defendant’s responsibility to raise and establish the exemption's merits. This structure follows established principles and Supreme Court precedent, as discussed in the Court’s opinion and cases like Meacham v. Knolls Atomic Power Laboratory.","23-1007_h3ci.pdf"
"Does §478.11’s treatment of weapon parts kits require evaluating facial inconsistency with GCA via Salerno’s “no set of circumstances” test?","No, §478.11’s treatment of weapon parts kits does not require evaluating facial inconsistency with the GCA via Salerno’s strict “no set of circumstances” test. While the Court, for purposes of this case, accepted the parties’ framing as a “facial” challenge and analyzed it accordingly, it specifically noted that it was not deciding whether the Salerno standard is the proper test for APA regulatory challenges. The majority confined its analysis to the facts and parties’ arguments in this case, leaving the broader question open for future determination and clarifying that lower courts are not bound to treat all APA challenges as facial challenges governed by Salerno. (See context, esp. ante at 7, n.2; dissenting opinions.)","23-852_o7jp.pdf"
"Evaluate multi-court implications if the Salerno test broadly governed facial APA regulatory challenges.","If the Salerno test—requiring plaintiffs to show that “no set of circumstances exists under which the Act would be valid”—were broadly applied to facial APA regulatory challenges, it would make it extremely difficult to invalidate agency rules. As Thomas, J., explains, a regulatory definition would survive as long as it covered even one item consistent with the statutory language, allowing agencies to potentially expand their authority far beyond congressional intent. This approach could limit courts’ ability to check agency overreach, since almost any regulation would be upheld if it was valid in at least one scenario. The majority notes this would have “substantial implications,” cautioning that lower courts are not bound to conflate APA and facial challenges, and that the proper test is unresolved (see 604 U.S. ____ (2025), Thomas, J., dissenting, pp. 7–9). Thus, extensive use of the Salerno standard in APA cases could significantly restrict judicial review of regulatory overreach across the courts.","23-852_o7jp.pdf"
"Examine federal regulation of 3D-printed, untraceable gun parts and non-serialized ""ghost gun"" kits.","Federal regulation of 3D-printed, untraceable gun parts and non-serialized ""ghost gun"" kits centers on the Gun Control Act of 1968 (GCA). The GCA requires federal licenses for importers, manufacturers, and dealers; background checks for buyers; recordkeeping; and marking firearms with serial numbers to aid law enforcement tracing efforts. Traditionally, “firearm” under the GCA includes any weapon, frames or receivers, among other components.

With technological advances like 3D printing, companies now sell weapon parts kits and unfinished frames/receivers that individuals can easily assemble at home into untraceable guns (“ghost guns”). The ATF addressed this by adopting a rule in 2022 interpreting the GCA to cover parts kits and partial frames/receivers that are ""designed to or may readily be converted"" into working firearms, thus subjecting them to the GCA’s requirements for licensing, background checks, recordkeeping, and serialization.

However, this regulatory interpretation was challenged in court. The Fifth Circuit ultimately held that the GCA does not cover weapon parts kits or unfinished frames/receivers—only finished ones—reducing federal regulatory reach over such items and complicating law enforcement’s ability to trace “ghost guns” used in crimes.","23-852_o7jp.pdf"
"Trace how GCA’s broadened firearm def. and ATF’s rules impose serialization on 3DP-part DIY kits.","The GCA’s broad definition of “firearm” includes any weapon or parts “designed to or may readily be converted to expel a projectile,” as well as their frames or receivers (§921(a)(3)). To address new technologies like 3D-printed and DIY kits—which allow individuals to easily assemble guns at home—the ATF’s 2022 rule interpreted the GCA to cover weapon parts kits and unfinished frames/receivers that can be readily made functional. Under this rule, those making or selling such kits must comply with GCA mandates, including securing licenses, conducting background checks, keeping records, and crucially, marking these kits and parts with serial numbers (serialization). This extends existing serialization requirements to 3D-printed or DIY gun kits to help law enforcement trace weapon origins and owners.","23-852_o7jp.pdf"
"If Salerno applies, how would facial vs. as-applied distinctions impact APA plaintiffs' likelihood of success?","If the Salerno standard applies, APA plaintiffs bringing facial challenges would have to show that there is ""no set of circumstances"" in which the agency rule is consistent with the statute (see discussion of Salerno and Buck, 55 Admin. L. Rev. at 438). This is a very demanding standard: unless the regulation is unlawful in every possible application, the challenge fails. Applying this to APA cases (as noted by Alito and Thomas) would make it extremely difficult for plaintiffs to succeed in facial challenges, as agencies could always argue that some applications are lawful.

In contrast, as-applied challenges—which focus on how a rule operates in particular situations—could still succeed if a plaintiff demonstrates the rule is invalid in those specific circumstances, without requiring the regulation to be invalid everywhere. Thus, under Salerno, APA plaintiffs would rarely succeed in facial challenges but could still potentially win as-applied ones.","23-852_o7jp.pdf"
"Trace the interplay between Salerno’s application, APA §706(2) vacatur authority, and regulatory definition challenges.","The interplay between Salerno’s application, APA §706(2) vacatur authority, and regulatory definition challenges is a central issue in the context provided:

1. **Salerno Standard**: The Salerno rule, from United States v. Salerno (1987), sets a stringent test for facial challenges—it requires a plaintiff to show that “no set of circumstances” exists under which a regulation would be valid. Applying this to challenges under the APA means that a regulation would survive unless it is invalid in every possible application.

2. **APA §706(2) Authority**: Traditionally, courts (especially in the Fifth Circuit and others) have interpreted APA §706(2) to mean that a rule found to exceed statutory authority can be “set aside” or vacated entirely (invalid in toto). However, if the Salerno standard applies, vacatur would be much harder because plaintiffs would have to show that the rule never aligns with statutory authority, not just that it is impermissible in many or most cases.

3. **Regulatory Definition Challenges**: When challenging regulatory definitions as exceeding statutory scope, treating every such APA challenge as a facial (Salerno) challenge would insulate agency action. As Thomas, J., notes, an agency could craft a broad definition, and as long as one covered application fits the statute, the definition as a whole survives—even if it otherwise exceeds statutory limits.

In summary, extending Salerno's “no set of circumstances” framework to APA §706(2) vacatur would greatly restrict courts' power to invalidate agency rules wholesale, thus favoring agencies, while ongoing debate persists over whether APA vacatur authority properly allows rules to be invalidated in toto or only as-applied.","23-852_o7jp.pdf"
"How does Medicaid coverage under §1382h(b) differ from SSI cash and noncash benefits for Medicare fraction purposes?","Medicaid coverage under §1382h(b) does not count as a supplemental security income (SSI) benefit for Medicare fraction purposes. Section §1382h(b) simply allows certain blind or disabled individuals who are not eligible for SSI benefits in a given month to still be treated as if they are eligible, solely so they can maintain Medicaid coverage. This provision is for Medicaid administration, not to create an SSI benefit. In contrast, actual SSI benefits—cash or otherwise—are distinct, and eligibility for the Medicare fraction requires that an individual is eligible for SSI benefits (under subchapter XVI) during the month of hospitalization, not just receiving continued Medicaid under §1382h(b).","23-715_5426.pdf"
