"prompt","expected completion","source_file"
"Consider the Marketing Affiliate Agreement between Birch First Global Investments Inc. and Mount Knowledge Holdings Inc.; What is the expiration date of this contract?","Based solely on the clause you’ve provided:

1. Term and Expiration  
   - “This agreement shall begin upon the date of its execution by MA and acceptance in writing by Company and shall remain in effect until the end of the current calendar year…” (¶ —).  
   - Thus, the initial expiration date is the last day of the calendar year in which the agreement is executed (i.e., December 31 of that year).

2. Renewal Provision  
   - “…and shall be automatically renewed for successive one (1) year periods unless otherwise terminated according to the cancellation or termination provisions contained in paragraph 18 of this Agreement.” (¶ —).  
   - Each renewal likewise expires on December 31 of the applicable year, unless earlier terminated per ¶ 18.

3. Missing Information  
   - The exact calendar year cannot be determined from the excerpt alone, since the actual execution date is not provided. Therefore, the precise expiration date (e.g., “December 31, 2024”) is not ascertainable without knowing when the agreement was signed.","cuad/CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.txt"
"Consider the Marketing Affiliate Agreement between Birch First Global Investments Inc. and Mount Knowledge Holdings Inc.; What is the renewal term for this contract?","According to the Agreement’s term clause:  
- After its initial term (through the end of the current calendar year), the contract “shall be automatically renewed for successive one (1) year periods” unless terminated per paragraph 18.  
  • Source: “This agreement … shall remain in effect until the end of the current calendar year and shall be automatically renewed for successive one (1) year periods …” (Term clause).","cuad/CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.txt"
"Consider the Marketing Affiliate Agreement between Birch First Global Investments Inc. and Mount Knowledge Holdings Inc.; What is the notice period required to terminate the renewal?","The Agreement provides that either party may terminate it at the expiration of its initial term or any renewal term “upon thirty (30) days written notice to the other party.”  (see “Termination” clause)","cuad/CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.txt"
"Consider the Marketing Affiliate Agreement between Birch First Global Investments Inc. and Mount Knowledge Holdings Inc.; What is the governing law for this contract?","The Agreement is governed by the laws of the State of Nevada.  
• “This Agreement … shall be governed by and construed in accordance with the laws thereof [Nevada], which laws shall prevail in the event of any conflict.”","cuad/CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.txt"
"Consider the Marketing Affiliate Agreement between Birch First Global Investments Inc. and Mount Knowledge Holdings Inc.; Is there an anti-assignment clause in this contract?","Yes. The Agreement contains an anti‑assignment clause.  Specifically, under the “Assignment” provision:  

‑ “MA may not assign, sell, lease or otherwise transfer in whole or in part any of the rights granted pursuant to this Agreement without prior written approval of Company.”  

This prohibits the Marketing Affiliate (MA) from transferring its rights under the Agreement except with the Company’s written consent.","cuad/CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.txt"
"Consider the Marketing Affiliate Agreement between Birch First Global Investments Inc. and Mount Knowledge Holdings Inc.; Is there a minimum commitment required under this contract?","Yes. Under the “Initial Order Commitment” provision, MA (Mount Knowledge Holdings Inc.) must purchase a minimum of 100 Units in aggregate within the Territory during the first six months of the term of the Agreement. (See “INITIAL ORDER COMMITMENT” section.)","cuad/CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.txt"
"Consider the Marketing Affiliate Agreement between Birch First Global Investments Inc. and Mount Knowledge Holdings Inc.; What licenses are granted under this contract?","Below is a summary of the licenses and rights granted to MA under the Marketing Affiliate Agreement. All citations refer to the numbered paragraphs in the provided context.

1. License to advertise, market and sell the Technology  
   - MA may “advertise, market and sell … the Technology listed in Schedule A of this Agreement”  
   - Scope: to corporate users, government agencies and educational facilities (“Clients”)  
   - Usage restriction: for Clients’ internal language‑learning, soft‑skills and communication purposes only; no remarketing, redistribution or multi‑user data‑center deployment without prior written consent (¶1).

2. License to sell and bundle Technology Maintenance  
   - MA may “sell and/or bundle Technology Maintenance for the Technology” (¶1).

3. License to provide first‑line technical support and implementation services  
   - MA may “provide first line technical support and implementation services for the Technology”  
   - Territory and criteria: as set out in Schedule A, provided MA meets the delivery criteria in Schedule A (¶1).

4. License to use Company branding in connection with the Technology  
   - MA has the right “to use Company and/or Company trade names, trademarks or service marks on Technology or in advertising or promotion relating directly to these products,” during the term of the Agreement (¶2).

5. Resale territory  
   - MA is “authorized to resell Technology within the following territory … Worldwide” (¶3).

No other licenses are described in the provided text.","cuad/CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.txt"
"Consider the Marketing Affiliate Agreement between Birch First Global Investments Inc. and Mount Knowledge Holdings Inc.; What are the audit rights under this contract?","Based solely on the clause you’ve provided, the Agreement grants the Company the following audit rights:  

1. Recordkeeping obligation  
   • MA (the Marketing Affiliate) must “keep accurate records of the sales of the Technology and Maintenance, including Client Registration Cards.”  

2. Inspection right  
   • MA must “make these records available for review by a representative of Company”  

3. Timing of review  
   • Such records must be produced “within ten (10) business days following the end of each month.”  

No other audit or inspection provisions are stated in the excerpt provided. If there are additional audit-related clauses elsewhere in the Agreement, they have not been included in the context you supplied.","cuad/CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.txt"
"Consider the Marketing Affiliate Agreement between Birch First Global Investments Inc. and Mount Knowledge Holdings Inc.; Is there a cap on liability under this contract?","Based solely on the provided excerpts:

1. Liability Cap  
   - “Company’s liability shall not exceed the fees that MA has paid under this Agreement.”  
     (Context, ¶1)

2. Related Limitations  
   - All incidental, special or consequential damages are disclaimed, even if foreseeable or advised. (Context, ¶1)  
   - The foregoing fee‑based cap also constitutes the entire liability for any IP‑infringement claims. (Context, ¶2)  
   - For breach of the specified warranty, Company’s sole remedies are repair or replacement (with a 90‑day written notice requirement). (Context, ¶3)  
   - In no event shall Company be liable for tort or contract damages or indirect, special, general, incidental or consequential damages (e.g., lost profits, goodwill). (Context, ¶4)

Conclusion  
Yes. The Agreement caps Company’s monetary liability at the total fees paid by the Marketing Affiliate (MA) under this Agreement.","cuad/CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.txt"
"Consider the Marketing Affiliate Agreement between Birch First Global Investments Inc. and Mount Knowledge Holdings Inc.; What is the duration of any warranties provided in this contract?","The Agreement’s sole warranty period is a 90-day window measured from the date of shipment.  

•  Section (A) Warranty Remedy: Company will correct or replace non-conforming Technology (per its then-current and published specifications).  
•  Warranty Claim Deadline: “Any claim for breach of warranty under Subparagraph (A) hereof must be made in writing within (90) days from date of shipment.” (Subparagraph (A))","cuad/CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.txt"
