"prompt","expected completion","source_file"
"Consider the Acquisition Agreement between Parent ""Magic AcquireCo, Inc."" and Target ""The Michaels Companies, Inc.""; What is the Type of Consideration","The Agreement provides for a purely cash‐based consideration.  Specifically:  

1. Offer Price (WHEREAS clause)  
   - Parent’s Merger Subsidiary will “commence a tender offer … to purchase … all of the shares … at a price per share of $22.00 … in cash, without interest.”  

2. Merger Consideration (Section (a))  
   - “Each Share outstanding immediately prior to the Effective Time … shall be canceled and converted into the right to receive the Offer Price in cash, without interest (the ‘Merger Consideration’).”  

Accordingly, the Type of Consideration under the Acquisition Agreement is cash consideration of $22.00 per share.","maud/The Michaels Companies, Inc._Apollo Global Management, LLC.txt"
"Consider the Acquisition Agreement between Parent ""Magic AcquireCo, Inc."" and Target ""The Michaels Companies, Inc.""; Information about the Closing Condition: Compliance with Covenants","Below is what the Agreement says about the “Compliance with Covenants” closing condition.  All quotations are from the “Conditions of the Offer” section.

1. Section and Citation  
   •  Section: Conditions of the Offer  
   •  Sub‑paragraph: (e)

2. Text of the Covenant Compliance Condition  
   “the Company shall have performed or complied with, in all material respects, each covenant, agreement and obligation required by the Merger Agreement to be performed or complied with by it on or prior to the Offer Expiration Time;”

3. Key Points  
   •  Applies “immediately prior to the then applicable Offer Expiration Time.”  
   •  Is an additional condition (i.e., Parent need not accept or pay for Shares unless this is satisfied).  
   •  Requires material compliance with every covenant, agreement and obligation that the Company (The Michaels Companies, Inc.) was required to perform under the Merger Agreement by that time.

4. Missing Information  
   •  The excerpt does not define what constitutes “material respects.”  
   •  It does not list the specific covenants or obligations; those appear elsewhere in the Merger Agreement.  

No further detail on “covenants” can be given without additional excerpts from the Merger Agreement.","maud/The Michaels Companies, Inc._Apollo Global Management, LLC.txt"
"Consider the Acquisition Agreement between Parent ""Magic AcquireCo, Inc."" and Target ""The Michaels Companies, Inc.""; What is the Target's Representation & Warranty of No Material Adverse Effect, with regards to some specified date","Below is the Target’s representation and warranty of no Material Adverse Effect, as set out in the Acquisition Agreement:

1. Representation (Section 4.10(b))  
   From the Company Balance Sheet Date until the date hereof, the Target represents and warrants that there has not been any:  
   • event  
   • occurrence  
   • development  
   • state of circumstances or facts  
   that has had, or would reasonably be expected to have, individually or in the aggregate, a Material Adverse Effect.  

2. Relevant Definition  
   • “Material Adverse Effect” is a defined term in the Agreement. (Definition not provided in the excerpt.)  

3. Time‑Frame  
   • “Company Balance Sheet Date” refers to the date of the financial statements delivered by the Target in connection with the Agreement.  
   • “Date hereof” means the date of the Acquisition Agreement.  

Citation: Acquisition Agreement, Section 4.10(b).","maud/The Michaels Companies, Inc._Apollo Global Management, LLC.txt"
"Consider the Acquisition Agreement between Parent ""Magic AcquireCo, Inc."" and Target ""The Michaels Companies, Inc.""; What is the Definition of ""Material Adverse Effect""","Below is the definition of “Material Adverse Effect” as provided in the Acquisition Agreement between Magic AcquireCo, Inc. and The Michaels Companies, Inc. (all emphasis added and exclusions numbered as in the original):

“Material Adverse Effect” means an event, occurrence, development, circumstance, change or effect that has a material adverse effect on the condition (financial or otherwise), business, assets or results of operations of the Company and its Subsidiaries, taken as a whole, excluding any effect resulting from:

  1.  Changes in the financial, securities, credit, debt, banking or other capital markets or conditions (including changes therein) or foreign or domestic economic, financial, regulatory, legislative, political or social conditions (including changes therein);
  2.  Changes or conditions generally affecting the industry in which the Company and its Subsidiaries operate or to the industries to which they sell their products and services, including changes in interest and exchange rates or commodity pricing, in any relevant jurisdiction;
  3.  Geopolitical conditions, hostilities, acts of war, tariffs, trade wars, transportation delays (including work stoppages or port closures), cyber‑attacks, sabotage, civil unrest, terrorism or other occurrences of instability;
  4.  (1) Plagues, pandemics (including SARS‑CoV‑2/COVID‑19) or other disease outbreaks or (2) hurricanes, tornadoes, floods, earthquakes or other natural or man‑made disasters or force majeure events;
  5.  Any quarantine, “shelter in place,” “stay at home,” social distancing, shutdown, closure or similar laws, directives or guidelines relating to COVID‑19 (the “COVID‑19 Measures”);
  6.  Changes or prospective changes in Applicable Law, Tax or GAAP (or their interpretation) on or after the date of the Agreement;
  7.  Failure by the Company or any Subsidiary to meet internal or published projections, forecasts or guidance, or changes in the market price or trading volume of the Company’s securities or its credit rating (subject to taking into account underlying facts not otherwise excluded);
  8.  Seasonal fluctuations consistent with historical patterns;
  9.  The identity of, or any facts or circumstances relating to, Parent, Merger Subsidiary or their Affiliates;
  10.  The negotiation, announcement, pendency or consummation of the Transactions (including any loss or change in relationships with counterparties), except to the extent related to any breach of a Material Contract representation under Section 4.04;
  11.  Any litigation, suit or proceeding concerning this Agreement or the transactions contemplated hereby or by the Offer Documents (including fiduciary‑duty or disclosure claims); and
  12.  (1) Any action taken by the Company or a Subsidiary at the written request or with the written consent of Parent or Merger Subsidiary or (2) compliance with, or failure to take actions prohibited by, the express terms of this Agreement.

Except that, with respect to clauses (ii) through (vi) above, any effect that is materially disproportionate to the impact on other participants in the same industry may be taken into account when determining whether a Material Adverse Effect has occurred.  

(Source: Definition of “Material Adverse Effect” in the provided Acquisition Agreement context)","maud/The Michaels Companies, Inc._Apollo Global Management, LLC.txt"
"Consider the Acquisition Agreement between Parent ""Magic AcquireCo, Inc."" and Target ""The Michaels Companies, Inc.""; What is the Definition of ""Knowledge""","The Agreement defines “Knowledge” as follows (see provided context):  

1. For any Person that is not an individual  
   - “Knowledge” means the actual knowledge of such Person’s executive officers.  

2. For the Company (The Michaels Companies, Inc.)  
   - “Knowledge” means the actual knowledge of the individuals listed in Section 1.01(a) of the Company Disclosure Letter.  

Source: “knowledge” definition in the provided Acquisition Agreement excerpt.","maud/The Michaels Companies, Inc._Apollo Global Management, LLC.txt"
"Consider the Acquisition Agreement between Parent ""Magic AcquireCo, Inc."" and Target ""The Michaels Companies, Inc.""; What about the Fiduciary exception to the No-Shop Clause","Below is what Section 6.03(d) (the “fiduciary exception”) says about the interplay between the Company’s fiduciary duties and the No‑Shop covenant:  

1. Location of the Exception  
   • Found in Section 6.03(d) of the Acquisition Agreement (“Go‑Shop; No Solicitation”).  

2. Triggering Conditions  
   • Prior to the Acceptance Time, the Company (or its Representatives) must receive a written Acquisition Proposal from a third party.  
   • The Company Board, after consulting its financial advisor and outside legal counsel, must determine that the proposal “is, could lead to, result in or constitute a Superior Proposal.”  

3. Permitted Activities  
   Once the Board makes the determination above, the Company may:  
   (i)   Engage in negotiations or discussions with the third party and its Representatives; and  
   (ii)  Furnish non‑public information about the Company or its Subsidiaries to that third party (subject to an “Acceptable Confidentiality Agreement”).  

4. Conditions on Information Sharing  
   • Before or substantially concurrently with sharing any material non‑public information with the third party, the Company must furnish that same information to Parent (if not already provided).  
   • The Company may not provide any of Parent’s or Merger Subsidiary’s non‑public information to the third party.  

5. Cut‑Off Date Exception  
   After the Cut‑Off Date and notwithstanding the No‑Shop Period Start Date, the Company may continue to engage with “Excluded Parties” under the same exceptions described in Section 6.03(a), without being bound by Sections 6.03(b) and 6.03(c), until the Cut‑Off Date.  

Cited Provision  
“Notwithstanding anything to the contrary in Section 6.03, if at any time prior to the Acceptance Time … the Company Board determines … [it is a] Superior Proposal, then the Company … may (i) engage … in negotiations … and (ii) furnish … non‑public information … provided, that (A) … make available to Parent any material non‑public information … and (B) not provide … any non‑public information of or relating to Parent …” (Section 6.03(d)).  

No other “fiduciary out” or broader exception appears in the provided context.","maud/The Michaels Companies, Inc._Apollo Global Management, LLC.txt"
"Consider the Acquisition Agreement between Parent ""Magic AcquireCo, Inc."" and Target ""The Michaels Companies, Inc.""; What is the Definition of ""Superior Proposal""","Below is the defining language of “Superior Proposal” as set forth in the Acquisition Agreement (emphasis added):  

“Superior Proposal” means a bona fide written Acquisition Proposal for at least a majority of the outstanding Shares or at least a majority of the consolidated assets of the Company and its Subsidiaries that  
  1. was not solicited in material breach by the Company of the first sentence of Section 6.03(b) or the first sentence of Section 6.03(c), and  
  2. the Company Board determines in good faith, after consultation with its financial advisor and outside legal counsel, and taking into account all relevant terms and conditions of such Acquisition Proposal, is more favorable to the Company’s stockholders from a financial point of view than the Merger (taking into account any irrevocable written proposal by Parent to amend the terms of this Agreement pursuant to Section 6.03(h)).  

(Source: Acquisition Agreement, Definition of “Superior Proposal”)","maud/The Michaels Companies, Inc._Apollo Global Management, LLC.txt"
"Consider the Acquisition Agreement between Parent ""Magic AcquireCo, Inc."" and Target ""The Michaels Companies, Inc.""; Information about the Fiduciary Termination Right Triggers for termination","The Agreement’s sole “fiduciary‐out” (i.e., Company‐initiated) termination right is set forth in Section 10.01(d)(i).  In brief, the trigger is:  

1.  Prior to the Acceptance Time, the Company Board:  
    •  Authorizes the Company to enter into a definitive agreement concerning a Superior Proposal (as defined and governed by Section 6.03(h)); and  
    •  The Company contemporaneously enters into that definitive agreement; and  

2.  The Company pays the Company Termination Fee required under Section 11.05(a)(ii).  

Citations:  
–  Section 10.01(d)(i) (fiduciary termination right)  
–  Section 6.03(h) (definition/governance of “Superior Proposal”)  
–  Section 11.05(a)(ii) (Company Termination Fee)","maud/The Michaels Companies, Inc._Apollo Global Management, LLC.txt"
"Consider the Acquisition Agreement between Parent ""Magic AcquireCo, Inc."" and Target ""The Michaels Companies, Inc.""; Is there a Tail provision for acquisition proposals","Based solely on the language of Section 11.05 of the provided Agreement, there is a “tail” provision for Acquisition Proposals:

1. Tail Period  
   – Section 11.05(a)(iii)(C) provides that if this Agreement is terminated and, within nine (9) months thereafter, the Company (The Michaels Companies, Inc.) both:  
     a. enters into a definitive agreement for an Acquisition Proposal; and  
     b. thereafter consummates that Acquisition Proposal,  
   then the Company must pay the full Company Termination Fee to Parent (Magic AcquireCo, Inc.) on the date of such consummation.

2. Citation  
   – See Section 11.05(a)(iii)(C).

No other tail period or differing mechanism appears in the text you provided.","maud/The Michaels Companies, Inc._Apollo Global Management, LLC.txt"
"Consider the Acquisition Agreement between Parent ""Magic AcquireCo, Inc."" and Target ""The Michaels Companies, Inc.""; What are the Ordinary course of business covenants","Below is a summary of the “ordinary course of business” covenants imposed on the Company (The Michaels Companies, Inc.) from the date of the Acquisition Agreement until the earlier of the Effective Time or termination of the Agreement (all citations are to Section 6.01 of the Agreement):

1. General Covenant  
   1.1. The Company (and each of its Subsidiaries) shall conduct its business in the ordinary course, taken as a whole, materially consistent with past practice, except:  
        • for matters set forth in Section 6.01 of the Company Disclosure Letter;  
        • actions taken under Section 8.07(h);  
        • actions required by Applicable Law or Contract;  
        • actions due to factors excluded from the definition of Material Adverse Effect; or  
        • actions taken with Parent’s prior written consent (not to be unreasonably withheld, conditioned or delayed; deemed given if Parent does not object in writing within five Business Days of a written request) (Section 6.01).

2. Specific “Best Efforts” Covenants  
   From the date hereof until closing, the Company shall use its reasonable best efforts to:  
   2.1. Preserve intact its present business organization (Section 6.01(I)(x));  
   2.2. Keep available the services of its directors, officers and key employees (Section 6.01(I)(y)); and  
   2.3. Maintain existing relationships with its material suppliers and other persons having material business relationships with it (Section 6.01(I)(z)).

3. Definition of “Ordinary Course”  
   References to “ordinary course” or “ordinary course of business” mean the conduct of the Company and its Subsidiaries, taken as a whole, in a manner:  
   • Materially consistent with past practice; and  
   • Except for Section 6.01(II), including reasonable good-faith actions or omissions in response to COVID-19 or COVID-19 Measures (Section 6.01, second paragraph).

No additional “ordinary course” covenants are stated in the provided excerpt.","maud/The Michaels Companies, Inc._Apollo Global Management, LLC.txt"
